n_muestra,tiempo_s,hora,ect,rpm,velocidad,vbatt,tps,freno_del,freno_tra,pcomb,taceite,paceite,map,lambda
20,1.050,17:42:22.804,94.0,6139,50,14.0,26,0.2,,3.69,104.7,2.79,46,0.98
21,1.050,17:42:22.804,93.6,5864,46,14.0,23,0.3,,3.70,104.7,2.68,45,0.96
22,1.260,17:42:23.013,93.3,5412,44,14.0,20,0.0,,3.77,104.5,2.48,42,0.99
23,1.260,17:42:23.013,93.4,4869,39,14.0,16,0.2,,3.76,104.2,2.21,41,1.00
24,1.260,17:42:23.013,93.0,4227,36,14.0,13,0.3,,3.73,104.2,1.91,38,1.01
25,1.260,17:42:23.013,92.9,3853,31,14.0,10,0.0,,3.79,103.8,1.76,35,1.00
26,1.460,17:42:23.214,93.1,3070,28,14.0,7,0.1,,3.76,103.7,1.42,34,1.00
27,1.460,17:42:23.214,93.0,2414,22,14.0,3,20.0,,3.80,103.6,1.08,31,0.98
28,1.460,17:42:23.214,93.0,1112,14,14.0,0,44.9,,3.82,103.6,0.80,28,1.00
29,1.460,17:42:23.214,93.0,1301,15,14.0,0,44.9,,3.77,103.3,0.81,28,0.99
30,1.665,17:42:23.418,92.9,1213,14,14.0,0,45.2,,3.76,103.2,0.79,28,0.99
31,1.665,17:42:23.418,93.1,1244,15,14.0,0,44.8,,3.76,103.5,0.75,28,1.02
32,1.665,17:42:23.418,92.7,2319,21,14.0,3,19.7,,3.76,103.9,1.01,31,0.97
33,1.665,17:42:23.418,93.1,3192,28,14.0,7,0.0,,3.77,104.3,1.43,31,1.01
34,1.874,17:42:23.628,93.5,3770,32,14.0,10,0.3,,3.73,103.9,1.67,34,1.00
35,1.874,17:42:23.628,93.8,4220,35,13.9,13,0.2,,3.77,104.7,1.90,39,0.97
36,1.874,17:42:23.628,93.4,4872,41,13.9,17,0.4,,3.71,104.6,2.21,39,0.99
37,1.874,17:42:23.628,93.9,5370,44,13.9,20,0.0,,3.73,104.9,2.49,42,0.99
38,2.085,17:42:23.838,93.9,5785,46,13.9,23,0.4,,3.74,104.9,2.59,45,0.95
39,2.085,17:42:23.838,94.1,6102,52,13.9,26,0.0,,3.71,105.1,2.77,47,0.98
40,2.085,17:42:23.838,94.0,6504,55,13.9,29,0.0,,3.66,105.1,2.91,49,0.96
41,2.085,17:42:23.838,94.6,7047,57,13.9,32,0.2,,3.70,105.9,3.25,52,0.96
42,2.293,17:42:24.047,94.3,7448,61,13.9,35,0.0,,3.68,106.1,3.34,52,0.94
43,2.293,17:42:24.047,94.7,7803,65,13.8,39,0.0,,3.63,106.1,3.58,55,0.93
44,2.293,17:42:24.047,94.8,8153,66,13.8,41,0.4,,3.66,106.5,3.69,58,0.95
45,2.293,17:42:24.047,94.7,8381,69,13.8,44,0.0,,3.67,106.3,3.83,59,0.94
46,2.532,17:42:24.286,95.3,8762,74,13.8,47,0.0,,3.67,106.9,3.94,62,0.94
47,2.532,17:42:24.286,95.3,9071,74,13.8,50,0.0,,3.65,106.7,4.17,63,0.96
48,2.532,17:42:24.286,95.3,9506,79,13.8,53,0.0,,3.62,107.0,4.28,65,0.92
49,2.532,17:42:24.286,95.5,9753,79,13.8,56,0.0,,3.57,107.3,4.42,68,0.95
50,2.532,17:42:24.286,95.4,10020,83,13.8,58,0.0,,3.59,107.2,4.52,69,0.95
51,2.742,17:42:24.495,95.3,10160,84,13.8,61,0.0,,3.57,107.2,4.63,73,0.91
52,2.742,17:42:24.495,96.0,10488,87,13.7,63,0.3,,3.57,108.0,4.74,74,0.91
53,2.742,17:42:24.495,95.9,10712,89,13.7,66,0.1,,3.59,107.6,4.84,77,0.90
54,2.742,17:42:24.495,96.2,10992,93,13.7,68,0.2,,3.57,108.2,4.97,77,0.92
55,2.949,17:42:24.703,95.8,11084,95,13.7,70,0.3,,3.59,107.9,5.03,79,0.92
56,2.949,17:42:24.703,96.4,11491,97,13.7,72,0.0,,3.52,108.1,5.25,81,0.90
57,2.949,17:42:24.703,96.5,11627,99,13.7,74,0.0,,3.53,108.8,5.32,82,0.90
58,2.949,17:42:24.703,96.2,11885,100,13.7,76,0.4,,3.53,108.9,5.38,83,0.88
59,3.159,17:42:24.913,96.7,11916,102,13.7,78,0.0,,3.49,108.5,5.40,83,0.89
60,3.159,17:42:24.913,96.8,12134,103,13.7,80,0.4,,3.53,108.7,5.49,86,0.92
61,3.160,17:42:24.913,96.4,12370,105,13.7,82,0.0,,3.54,108.9,5.57,86,0.89
62,3.160,17:42:24.913,96.4,12538,106,13.7,83,0.3,,3.49,109.3,5.71,88,0.88
63,3.160,17:42:24.913,97.0,12497,106,13.6,85,0.3,,3.52,109.6,5.69,89,0.91
64,3.365,17:42:25.119,96.8,12688,108,13.6,86,0.0,,3.49,109.8,5.74,89,0.90
65,3.366,17:42:25.119,97.1,12917,111,13.6,88,0.0,,3.50,109.3,5.86,90,0.91
66,3.366,17:42:25.119,97.2,12865,109,13.6,89,0.0,,3.52,109.8,5.90,91,0.90
67,3.366,17:42:25.119,96.8,13089,112,13.6,90,0.0,,3.45,109.9,5.99,92,0.88
68,3.570,17:42:25.323,96.9,13168,111,13.6,91,0.2,,3.47,110.0,5.97,93,0.88
69,3.570,17:42:25.323,97.0,13373,112,13.6,92,0.0,,3.49,110.0,6.04,95,0.87
70,3.570,17:42:25.323,97.0,13231,114,13.6,93,0.1,,3.49,109.8,6.06,95,0.87
71,3.570,17:42:25.323,97.3,13385,114,13.6,93,0.0,,3.46,110.3,6.08,96,0.90
72,3.774,17:42:25.528,97.2,13330,115,13.6,94,0.2,,3.45,109.7,6.05,96,0.86
73,3.774,17:42:25.528,97.3,13391,115,13.6,94,0.0,,3.49,109.7,6.09,95,0.86
74,3.775,17:42:25.528,97.1,13480,115,13.6,95,0.0,,3.45,109.9,6.17,97,0.88
75,3.775,17:42:25.528,97.3,13555,115,13.6,95,0.2,,3.48,110.3,6.19,95,0.87
76,3.989,17:42:25.743,97.1,13618,117,13.6,95,0.0,,3.45,110.1,6.22,97,0.89
77,3.989,17:42:25.743,97.2,13458,117,13.6,95,0.0,,3.47,110.1,6.10,97,0.87
78,3.990,17:42:25.743,97.1,13553,115,13.6,95,0.3,,3.47,110.4,6.21,97,0.85
79,3.990,17:42:25.743,97.1,13465,115,13.6,95,0.1,,3.44,110.6,6.17,95,0.89
80,4.190,17:42:25.943,97.3,13514,116,13.6,94,0.1,,3.45,109.8,6.14,96,0.87
81,4.190,17:42:25.943,97.5,13366,116,13.6,94,0.0,,3.45,110.3,6.04,96,0.88
82,4.190,17:42:25.943,97.4,13433,115,13.6,93,0.2,,3.48,110.4,6.15,95,0.89
83,4.190,17:42:25.943,97.1,13293,115,13.5,93,0.2,,3.47,110.1,6.00,95,0.86
84,4.395,17:42:26.149,97.4,13312,113,13.5,92,0.0,,3.48,109.8,6.05,93,0.90
85,4.395,17:42:26.149,97.0,13218,113,13.5,91,0.0,,3.45,110.0,5.99,94,0.90
86,4.395,17:42:26.149,97.2,13011,111,13.5,90,0.4,,3.45,110.2,5.95,93,0.87
87,4.395,17:42:26.149,97.0,12941,112,13.5,89,0.4,,3.52,109.6,5.85,93,0.91
88,4.602,17:42:26.355,97.3,12926,109,13.5,88,0.2,,3.47,109.8,5.88,91,0.90
89,4.602,17:42:26.356,96.9,12729,108,13.5,87,0.0,,3.47,109.6,5.77,91,0.89
90,4.602,17:42:26.356,96.9,12750,106,13.5,85,0.1,,3.53,109.6,5.77,90,0.89
91,4.602,17:42:26.356,97.2,12592,106,13.5,84,0.3,,3.52,109.6,5.72,89,0.90
92,4.829,17:42:26.582,97.3,12424,106,13.6,82,0.4,,3.51,109.9,5.61,87,0.89
93,4.829,17:42:26.582,97.0,12261,102,13.6,80,0.0,,3.53,109.5,5.60,85,0.87
94,4.829,17:42:26.582,97.1,12131,103,13.6,79,0.0,,3.52,109.6,5.49,85,0.88
95,4.829,17:42:26.582,96.8,11753,101,13.6,77,0.1,,3.50,109.1,5.32,83,0.91
96,4.829,17:42:26.582,96.8,11576,98,13.6,75,0.2,,3.54,109.2,5.22,82,0.88
97,5.051,17:42:26.805,96.4,11348,98,13.6,73,0.0,,3.52,108.9,5.20,80,0.89
98,5.051,17:42:26.805,96.8,11200,93,13.6,71,0.0,,3.58,109.3,5.11,79,0.92
99,5.051,17:42:26.805,96.7,10896,93,13.6,68,0.0,,3.54,109.2,4.97,76,0.90
100,5.051,17:42:26.805,96.2,10686,91,13.6,66,0.0,,3.55,109.1,4.83,74,0.90
101,5.256,17:42:27.010,96.5,10629,87,13.6,64,0.0,,3.60,108.7,4.79,73,0.90
102,5.257,17:42:27.010,96.1,10193,86,13.6,61,0.0,,3.60,108.8,4.59,72,0.93
103,5.257,17:42:27.010,95.9,10037,83,13.6,59,0.0,,3.56,108.1,4.59,69,0.90
104,5.257,17:42:27.010,96.3,9705,81,13.6,56,0.0,,3.64,108.4,4.37,67,0.92
105,5.456,17:42:27.210,95.9,9423,78,13.6,53,0.2,,3.60,108.5,4.26,68,0.94
106,5.456,17:42:27.210,95.8,9158,75,13.6,51,0.2,,3.60,107.7,4.15,64,0.92
107,5.456,17:42:27.210,96.0,8958,73,13.6,48,0.3,,3.66,107.5,4.11,62,0.95
108,5.456,17:42:27.210,95.5,8594,71,13.6,45,0.0,,3.67,107.6,3.89,61,0.96
109,5.659,17:42:27.412,95.8,8276,68,13.6,42,0.2,,3.62,107.7,3.78,59,0.94
110,5.659,17:42:27.412,95.3,7773,64,13.6,39,0.0,,3.67,107.1,3.52,55,0.96
111,5.659,17:42:27.412,95.0,7421,61,13.6,36,0.3,,3.70,107.5,3.36,54,0.97
112,5.659,17:42:27.413,95.2,7132,58,13.6,33,0.0,,3.69,106.7,3.22,53,0.97
113,5.860,17:42:27.613,95.3,6732,55,13.6,30,0.1,,3.73,106.6,3.07,48,0.94
114,5.860,17:42:27.614,94.7,6231,53,13.7,27,0.2,,3.69,107.0,2.85,48,0.94
115,5.860,17:42:27.614,95.1,5972,47,13.7,24,0.0,,3.68,106.6,2.69,45,0.97
116,5.860,17:42:27.614,94.9,5419,45,13.7,21,0.3,,3.73,106.5,2.49,43,0.96
117,6.059,17:42:27.812,94.7,4987,42,13.7,17,0.0,,3.71,106.5,2.32,41,1.00
118,6.059,17:42:27.812,94.5,4488,36,13.7,14,0.0,,3.72,105.9,2.03,38,0.96
119,6.059,17:42:27.812,94.5,3810,33,13.7,11,0.0,,3.75,105.9,1.75,34,1.00
120,6.059,17:42:27.812,94.3,3179,29,13.7,7,0.0,,3.74,105.7,1.45,32,0.98
121,6.274,17:42:28.028,93.8,2549,23,13.7,4,13.9,,3.76,105.3,1.20,31,1.02
122,6.274,17:42:28.028,94.1,1741,16,13.7,1,39.2,,3.77,105.6,0.82,29,1.02
123,6.274,17:42:28.028,93.6,1149,15,13.7,0,45.3,,3.78,105.0,0.79,28,1.02
124,6.274,17:42:28.028,94.0,1141,16,13.7,0,44.6,,3.81,105.4,0.75,27,1.02
125,6.498,17:42:28.252,94.0,1220,14,13.7,0,44.8,,3.76,105.3,0.79,28,0.97
126,6.498,17:42:28.252,93.9,2253,21,13.7,3,26.3,,3.80,105.4,1.07,29,1.02
127,6.498,17:42:28.252,94.2,3006,26,13.7,6,1.6,,3.78,105.9,1.42,33,1.00
128,6.498,17:42:28.252,94.3,3686,31,13.7,9,0.0,,3.79,105.8,1.63,35,0.98
129,6.498,17:42:28.252,94.5,4256,35,13.7,12,0.0,,3.75,106.4,1.91,38,0.97
130,6.744,17:42:28.497,94.3,4656,40,13.6,16,0.4,,3.76,106.0,2.14,41,0.97
131,6.744,17:42:28.497,94.8,5176,43,13.6,19,0.2,,3.73,106.3,2.33,41,0.98
132,6.744,17:42:28.497,95.0,5571,46,13.6,22,0.3,,3.75,106.7,2.53,43,0.99
133,6.744,17:42:28.497,95.1,6023,49,13.6,25,0.0,,3.75,107.2,2.70,47,0.96
134,6.744,17:42:28.497,95.0,6454,53,13.6,29,0.4,,3.70,106.7,2.97,47,0.95
135,6.948,17:42:28.702,95.5,6919,57,13.6,32,0.3,,3.70,107.1,3.12,52,0.95
136,6.948,17:42:28.702,95.5,7344,61,13.6,35,0.0,,3.65,107.4,3.34,54,0.95
137,6.948,17:42:28.702,95.4,7792,64,13.6,38,0.0,,3.64,107.7,3.53,55,0.97
138,6.948,17:42:28.702,95.5,7961,65,13.6,41,0.1,,3.63,107.5,3.66,58,0.96
139,7.152,17:42:28.905,95.5,8481,70,13.5,44,0.0,,3.61,108.1,3.86,60,0.95
140,7.152,17:42:28.905,95.6,8633,72,13.5,47,0.0,,3.63,108.4,3.93,62,0.96
141,7.152,17:42:28.905,96.0,9126,74,13.5,49,0.3,,3.63,108.1,4.13,64,0.95
142,7.152,17:42:28.905,95.9,9251,79,13.5,52,0.0,,3.62,108.3,4.16,66,0.92
143,7.356,17:42:29.109,96.3,9513,81,13.5,55,0.0,,3.64,108.5,4.35,68,0.93
144,7.356,17:42:29.109,96.0,9937,81,13.5,58,0.2,,3.61,108.7,4.52,69,0.92
145,7.356,17:42:29.109,96.6,10178,86,13.5,60,0.1,,3.61,109.4,4.63,70,0.93
146,7.356,17:42:29.109,96.3,10507,88,13.5,63,0.1,,3.57,108.9,4.77,72,0.90
147,7.565,17:42:29.318,96.4,10579,90,13.5,65,0.0,,3.57,109.6,4.83,73,0.93
148,7.565,17:42:29.318,96.7,10799,92,13.5,67,0.0,,3.59,109.5,4.91,76,0.92
149,7.565,17:42:29.318,97.0,11106,92,13.4,70,0.4,,3.55,109.5,5.00,79,0.90
150,7.565,17:42:29.318,96.6,11422,95,13.4,72,0.0,,3.57,109.6,5.17,79,0.89
151,7.770,17:42:29.523,96.8,11568,98,13.4,74,0.1,,3.57,110.1,5.27,83,0.90
152,7.770,17:42:29.523,97.0,11861,100,13.4,76,0.2,,3.52,110.3,5.39,84,0.91
153,7.770,17:42:29.523,96.9,11854,102,13.4,78,0.0,,3.56,110.1,5.36,84,0.90
154,7.770,17:42:29.523,97.5,12048,101,13.4,80,0.3,,3.50,110.0,5.49,86,0.88
155,7.970,17:42:29.724,97.5,12301,103,13.4,81,0.0,,3.50,110.3,5.64,88,0.91
156,7.970,17:42:29.724,97.1,12400,106,13.4,83,0.2,,3.50,110.8,5.66,86,0.91
157,7.971,17:42:29.724,97.2,12622,107,13.4,85,0.0,,3.54,110.7,5.76,88,0.89
158,7.971,17:42:29.724,97.3,12824,109,13.4,86,0.3,,3.47,111.1,5.80,90,0.91
159,8.176,17:42:29.930,97.6,12779,110,13.4,87,0.0,,3.48,110.7,5.85,92,0.87
160,8.176,17:42:29.930,97.7,12954,111,13.4,89,0.1,,3.53,111.1,5.90,92,0.86
161,8.176,17:42:29.930,97.4,13174,111,13.4,90,0.0,,3.50,111.2,6.03,93,0.87
162,8.176,17:42:29.930,97.4,13157,112,13.4,91,0.3,,3.46,111.0,6.02,92,0.90
163,8.375,17:42:30.128,97.9,13140,112,13.4,92,0.2,,3.47,111.5,5.94,95,0.90
164,8.375,17:42:30.129,97.4,13192,114,13.4,92,0.2,,3.46,111.5,5.97,94,0.90
165,8.375,17:42:30.129,97.4,13315,116,13.4,93,0.2,,3.49,111.2,6.01,96,0.88
166,8.375,17:42:30.129,98.0,13459,113,13.4,94,0.0,,3.48,111.2,6.13,95,0.87
167,8.579,17:42:30.333,97.9,13370,114,13.4,94,0.1,,3.50,111.2,6.11,97,0.88
168,8.579,17:42:30.333,97.9,13528,117,13.4,95,0.2,,3.47,111.4,6.19,95,0.87
169,8.579,17:42:30.333,97.7,13649,116,13.4,95,0.0,,3.43,111.1,6.25,95,0.88
170,8.579,17:42:30.333,98.0,13590,117,13.4,95,0.0,,3.47,111.5,6.22,98,0.88
171,8.781,17:42:30.534,97.9,13658,117,13.4,95,0.0,,3.49,111.1,6.16,95,0.86
172,8.781,17:42:30.534,97.5,13566,115,13.4,95,0.3,,3.50,111.8,6.15,97,0.90
173,8.781,17:42:30.535,98.0,13629,117,13.4,95,0.2,,3.49,111.1,6.23,97,0.90
174,8.781,17:42:30.535,98.0,13539,114,13.4,94,0.0,,3.49,111.5,6.14,96,0.90
175,8.982,17:42:30.736,97.7,13482,114,13.4,94,0.0,,3.49,111.4,6.18,97,0.90
176,8.982,17:42:30.736,97.5,13453,116,13.4,94,0.2,,3.51,111.0,6.13,94,0.86
177,8.982,17:42:30.736,97.5,13390,115,13.4,93,0.2,,3.45,111.4,6.06,94,0.89
178,8.983,17:42:30.736,97.4,13270,112,13.4,92,0.0,,3.51,111.4,6.05,96,0.90
179,9.222,17:42:30.976,97.7,13136,113,13.4,91,0.2,,3.45,111.1,5.95,93,0.88
180,9.222,17:42:30.976,97.6,13036,111,13.4,90,0.3,,3.50,111.3,5.88,94,0.87
181,9.222,17:42:30.976,97.5,12997,112,13.4,89,0.0,,3.48,110.9,5.95,93,0.86
182,9.222,17:42:30.976,97.2,12889,110,13.4,88,0.0,,3.51,110.9,5.83,93,0.89
183,9.222,17:42:30.976,97.4,12761,109,13.4,87,0.0,,3.50,111.3,5.79,90,0.90
184,9.430,17:42:31.183,97.2,12638,108,13.4,86,0.3,,3.51,110.6,5.77,89,0.88
185,9.430,17:42:31.183,97.3,12453,106,13.4,84,0.0,,3.53,110.7,5.67,90,0.87
186,9.430,17:42:31.183,97.2,12332,106,13.4,83,0.1,,3.49,110.5,5.60,88,0.91
187,9.430,17:42:31.183,97.4,12253,104,13.4,81,0.0,,3.53,110.4,5.61,87,0.90
188,9.637,17:42:31.391,97.2,12177,102,13.4,79,0.2,,3.54,110.9,5.54,86,0.88
189,9.637,17:42:31.391,97.0,11919,101,13.4,77,0.0,,3.56,110.5,5.42,83,0.92
190,9.637,17:42:31.391,97.1,11702,98,13.4,75,0.0,,3.51,110.5,5.34,83,0.92
191,9.637,17:42:31.391,96.7,11596,97,13.4,73,0.0,,3.54,110.3,5.22,80,0.90
192,9.847,17:42:31.601,96.6,11203,94,13.4,71,0.0,,3.56,109.8,5.07,78,0.89
193,9.847,17:42:31.601,96.8,11072,93,13.5,69,0.0,,3.54,109.8,5.04,79,0.92
194,9.847,17:42:31.601,96.4,10893,92,13.5,67,0.0,,3.60,110.1,4.95,77,0.94
195,9.847,17:42:31.601,96.4,10627,89,13.5,64,0.0,,3.55,109.4,4.84,75,0.93
196,10.080,17:42:31.834,96.6,10399,87,13.5,62,0.1,,3.62,109.8,4.77,74,0.93
197,10.081,17:42:31.834,96.4,10159,83,13.5,59,0.1,,3.63,109.1,4.66,70,0.91
198,10.081,17:42:31.834,96.2,9901,82,13.5,57,0.0,,3.58,109.3,4.53,69,0.94
199,10.081,17:42:31.834,96.0,9478,79,13.5,54,0.0,,3.58,108.9,4.29,66,0.93
200,10.081,17:42:31.834,96.0,9324,77,13.5,51,0.4,,3.61,109.3,4.21,64,0.92
201,10.282,17:42:32.036,96.0,8991,75,13.5,49,0.0,,3.66,108.9,4.11,63,0.95
202,10.282,17:42:32.036,95.7,8632,71,13.5,46,0.1,,3.68,108.5,3.92,62,0.93
203,10.282,17:42:32.036,95.7,8308,67,13.6,43,0.0,,3.65,108.2,3.76,58,0.96
204,10.282,17:42:32.036,95.2,8025,66,13.6,40,0.1,,3.64,108.4,3.65,56,0.95
205,10.486,17:42:32.240,95.6,7543,62,13.6,37,0.0,,3.67,108.0,3.43,54,0.94
206,10.487,17:42:32.240,95.0,7314,60,13.6,34,0.0,,3.69,108.0,3.29,51,0.94
207,10.487,17:42:32.240,95.0,6721,56,13.6,31,0.0,,3.71,107.9,3.09,50,0.97
208,10.487,17:42:32.240,94.9,6416,51,13.6,28,0.2,,3.67,107.7,2.95,48,0.94
209,10.686,17:42:32.439,94.9,5873,48,13.6,25,0.0,,3.69,107.1,2.64,47,0.97
210,10.686,17:42:32.439,94.5,5468,46,13.6,21,0.0,,3.76,107.4,2.47,43,0.99
211,10.686,17:42:32.439,94.4,5113,43,13.6,18,0.2,,3.77,107.4,2.32,41,0.98
212,10.686,17:42:32.439,94.6,4506,39,13.7,15,0.3,,3.76,107.0,2.06,39,0.99
213,10.889,17:42:32.643,94.4,4100,34,13.7,12,0.0,,3.77,106.4,1.86,36,0.98
214,10.889,17:42:32.643,93.9,3445,30,13.7,8,0.3,,3.80,106.5,1.59,35,0.96
215,10.889,17:42:32.643,93.8,2808,25,13.7,5,7.5,,3.75,106.2,1.26,30,0.99
216,10.889,17:42:32.643,94.0,1830,19,13.7,2,33.0,,3.83,106.0,0.81,29,1.00
217,11.089,17:42:32.842,93.6,1089,16,13.7,0,45.1,,3.83,105.9,0.76,29,0.99
218,11.089,17:42:32.842,93.8,1124,14,13.7,0,45.1,,3.79,105.7,0.81,27,1.02
219,11.089,17:42:32.843,93.9,1133,15,13.7,0,45.3,,3.81,106.2,0.79,28,0.99
220,11.089,17:42:32.843,93.9,1921,19,13.7,2,32.1,,3.81,106.2,0.90,28,1.02
221,11.287,17:42:33.040,94.0,2725,24,13.7,5,7.4,,3.82,106.0,1.22,33,1.00
222,11.287,17:42:33.040,93.7,3390,29,13.7,8,0.0,,3.79,106.3,1.50,33,0.98
223,11.287,17:42:33.040,94.4,4086,33,13.7,12,0.2,,3.73,106.3,1.84,36,0.97
224,11.287,17:42:33.040,94.1,4573,37,13.7,15,0.0,,3.78,107.3,2.12,38,0.97
225,11.482,17:42:33.235,94.6,5089,43,13.7,18,0.0,,3.78,107.3,2.32,41,0.97
226,11.482,17:42:33.235,94.5,5652,46,13.7,21,0.0,,3.74,107.6,2.59,43,0.98
227,11.482,17:42:33.235,94.6,6100,50,13.7,25,0.0,,3.75,107.7,2.79,46,0.97
228,11.482,17:42:33.235,94.5,6520,54,13.7,28,0.0,,3.71,107.7,2.95,48,0.98
229,11.676,17:42:33.429,95.0,6779,57,13.6,31,0.0,,3.73,108.0,3.10,52,0.98
230,11.676,17:42:33.429,95.1,7158,58,13.6,34,0.4,,3.71,108.2,3.26,51,0.97
231,11.676,17:42:33.430,95.2,7478,61,13.6,37,0.0,,3.64,107.9,3.40,56,0.93
232,11.869,17:42:33.623,95.3,7854,66,13.6,40,0.4,,3.69,108.1,3.52,56,0.94
233,11.869,17:42:33.623,95.3,8176,69,13.6,43,0.0,,3.67,108.2,3.67,58,0.96
234,11.869,17:42:33.623,95.5,8539,72,13.6,46,0.0,,3.63,109.0,3.85,62,0.96
235,11.869,17:42:33.623,95.3,9053,74,13.6,49,0.0,,3.66,109.0,4.13,63,0.94
236,12.064,17:42:33.818,95.6,9222,77,13.6,51,0.0,,3.62,109.4,4.16,66,0.91
237,12.065,17:42:33.818,95.6,9488,80,13.6,54,0.0,,3.61,109.6,4.31,68,0.95
238,12.065,17:42:33.818,95.5,9868,83,13.6,57,0.0,,3.59,109.2,4.50,69,0.93
239,12.065,17:42:33.818,95.7,10170,83,13.6,59,0.0,,3.60,109.5,4.59,71,0.90
240,12.260,17:42:34.014,95.9,10340,87,13.6,62,0.3,,3.58,109.5,4.74,73,0.94
241,12.261,17:42:34.014,96.2,10587,88,13.6,64,0.0,,3.60,110.2,4.81,73,0.92
242,12.261,17:42:34.014,96.1,10836,91,13.6,67,0.0,,3.60,109.9,4.90,77,0.93
243,12.261,17:42:34.014,96.2,11090,92,13.6,69,0.0,,3.60,110.2,5.06,79,0.90
244,12.454,17:42:34.208,96.3,11290,95,13.6,71,0.2,,3.52,110.1,5.17,81,0.91
245,12.455,17:42:34.208,96.1,11511,96,13.6,73,0.0,,3.58,110.2,5.20,80,0.90
246,12.455,17:42:34.208,96.5,11755,99,13.6,75,0.1,,3.58,110.5,5.34,81,0.93
247,12.455,17:42:34.208,96.5,11877,101,13.6,77,0.3,,3.52,110.5,5.41,85,0.89
248,12.647,17:42:34.401,96.8,12135,102,13.6,79,0.4,,3.52,110.8,5.47,86,0.92
249,12.648,17:42:34.401,96.9,12300,104,13.6,81,0.0,,3.53,111.2,5.62,87,0.89
250,12.648,17:42:34.401,96.4,12319,105,13.6,83,0.0,,3.51,111.1,5.58,87,0.91
251,12.648,17:42:34.401,96.7,12558,107,13.5,84,0.3,,3.50,111.1,5.73,87,0.90
252,12.844,17:42:34.597,96.5,12767,107,13.5,86,0.0,,3.50,111.0,5.84,89,0.89
253,12.844,17:42:34.597,96.9,12787,108,13.5,87,0.0,,3.52,111.3,5.82,91,0.88
254,12.844,17:42:34.597,96.7,12929,109,13.5,88,0.0,,3.46,111.1,5.86,92,0.87
255,12.844,17:42:34.597,96.6,12924,111,13.5,89,0.1,,3.47,111.6,5.86,91,0.88
256,13.036,17:42:34.790,97.0,13056,112,13.5,90,0.3,,3.46,111.3,5.93,94,0.88
257,13.036,17:42:34.790,96.7,13199,111,13.5,91,0.1,,3.47,111.7,6.04,95,0.87
258,13.036,17:42:34.790,97.0,13257,114,13.5,92,0.4,,3.49,111.2,6.01,94,0.88
259,13.230,17:42:34.984,97.2,13314,114,13.5,93,0.0,,3.46,111.4,6.07,95,0.89
260,13.230,17:42:34.984,96.7,13420,114,13.6,94,0.1,,3.49,111.6,6.10,96,0.90
261,13.231,17:42:34.984,97.2,13395,116,13.6,94,0.4,,3.49,111.7,6.13,96,0.85
262,13.231,17:42:34.984,97.2,13405,116,13.6,94,0.2,,3.49,111.6,6.06,97,0.88
263,13.426,17:42:35.180,97.2,13543,117,13.6,95,0.0,,3.44,111.4,6.18,97,0.86
264,13.426,17:42:35.180,96.7,13545,116,13.6,95,0.3,,3.44,111.4,6.19,96,0.90
265,13.426,17:42:35.180,97.2,13439,116,13.6,95,0.4,,3.49,111.5,6.13,97,0.88
266,13.426,17:42:35.180,97.1,13538,117,13.6,95,0.1,,3.51,111.3,6.18,98,0.86
